Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
50;infrastructure;YRDSB-S;A8:BD:27:E9:47:C1;;11;No;WPA2,AES-CCM;No;260.0;0;2;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:57:26 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;YRDSB-Guest;A8:BD:27:E9:47:C2;;11;No;OPN,None;No;260.0;0;2;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:57:26 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
52;infrastructure;;A8:BD:27:E9:47:C3;;11;No;WPA2,AES-CCM;No;260.0;0;2;0;0;0;0;0;;;Mon Jan  8 11:57:21 2024;Mon Jan  8 11:57:26 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;YRDSB-Guest;70:3A:0E:5D:E3:A2;;6;No;OPN,None;No;260.0;0;38;0;0;0;0;0;;;Mon Jan  8 11:57:24 2024;Mon Jan  8 11:58:32 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;;A8:BD:27:E9:42:E3;;6;No;WPA2,AES-CCM;No;260.0;0;10;0;0;0;0;0;;;Mon Jan  8 11:57:24 2024;Mon Jan  8 11:58:06 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;YRDSB-A;70:3A:0E:5D:E6:80;;1;No;WPA2,AES-CCM;No;260.0;0;74;0;0;0;0;0;;;Mon Jan  8 11:57:24 2024;Mon Jan  8 11:58:47 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;YRDSB-S;70:3A:0E:5D:E6:81;;1;No;WPA2,AES-CCM;No;260.0;0;88;0;0;0;0;0;;;Mon Jan  8 11:57:24 2024;Mon Jan  8 11:58:50 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;YRDSB-Guest;70:3A:0E:5D:E6:82;;1;No;OPN,None;No;260.0;0;96;0;0;0;0;0;;;Mon Jan  8 11:57:24 2024;Mon Jan  8 11:58:49 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;;70:3A:0E:52:07:A3;;11;No;WPA2,AES-CCM;No;260.0;0;11;0;0;0;0;0;;;Mon Jan  8 11:57:25 2024;Mon Jan  8 11:58:09 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;YRDSB-S;70:3A:0E:52:07:A1;;11;No;WPA2,AES-CCM;No;260.0;0;13;0;2;0;0;2;;;Mon Jan  8 11:57:26 2024;Mon Jan  8 11:58:08 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
